source,target,similarity
Clarithromycin,Vancomycin,0.924883842
Clarithromycin,Erythromycin,0.918623686
Clarithromycin,Ciprofloxacin,0.902778268
Clarithromycin,Amoxicillin,0.902407646
Clarithromycin,Dicloxacillin,0.889529645
Minocycline,Linezolid,0.908490002
Minocycline,Tetracycline,0.905833781
Minocycline,Cenobamate,0.904944181
Minocycline,Ranolazine,0.900749624
Minocycline,Pomotrelvir,0.89579916
Carboxymethylcellulose,Methylcellulose,0.944038868
Carboxymethylcellulose,Polyvinyl alcohol,0.886880755
Carboxymethylcellulose,Polyethylene glycol,0.877489567
Carboxymethylcellulose,Dodecyl sulfate,0.87417388
Carboxymethylcellulose,Acrylic Acid,0.871502519
Melatonin,Ondansetron,0.86617142
Melatonin,Serotonin,0.865817666
Melatonin,Granisetron,0.863040745
Melatonin,Pomotrelvir,0.853498876
Melatonin,Bicalutamide,0.850710392
Barley,Strawberry,0.93431437
Barley,Peach,0.933404744
Barley,Pea,0.924556911
Barley,Ginger,0.918943644
Barley,Almond,0.916884124
Clove,Peanut,0.941906512
Clove,Oyster,0.92921567
Clove,Ginger,0.923705995
Clove,Grape,0.91956085
Clove,Pea,0.915650904
Eugenol,Ergosterol,0.880795538
Eugenol,Lapachone,0.880766571
Eugenol,Esketamine,0.878332376
Eugenol,Pectin,0.878149629
Eugenol,Ellagic acid,0.877934694
Valproic acid,Metoclopramide,0.872256458
Valproic acid,Sertraline,0.862891555
Valproic acid,Levetiracetam,0.858719349
Valproic acid,Levocarnitine,0.847141504
Valproic acid,Fluoxetine,0.843221724
Brivaracetam,Granisetron,0.908505142
Brivaracetam,Pomotrelvir,0.901696563
Brivaracetam,Ranolazine,0.901585102
Brivaracetam,Rivaroxaban,0.895914912
Brivaracetam,Levocarnitine,0.895537078
Insulin human,Betaine,0.87456727
Insulin human,Testosterone,0.87063092
Insulin human,Goserelin,0.863207579
Insulin human,Codeine,0.863184571
Insulin human,Insulin detemir,0.861626148
Insulin glargine,Insulin detemir,0.866000891
Insulin glargine,Metformin,0.857357919
Insulin glargine,reduction than Glucagon,0.84505856
Insulin glargine,Granisetron,0.834464431
Insulin glargine,Dapagliflozin,0.833870769
Insulin detemir,Metformin,0.877119958
Insulin detemir,Povidone,0.871259809
Insulin detemir,Ranitidine,0.870877385
Insulin detemir,formulated for Ethanol,0.866579533
Insulin detemir,Insulin glargine,0.866000891
Imidazole,Benzimidazole,0.949387908
Imidazole,Carbazole,0.938613594
Imidazole,4-Methylimidazole,0.936481476
Imidazole,Indole,0.928285003
Imidazole,Carbendazim,0.917027116
Olive oil,Strawberry,0.880369365
Olive oil,Oat,0.880058408
Olive oil,Whey,0.873150945
Olive oil,Almond,0.867310703
Olive oil,Caffeine,0.867066622
Herring,Oyster,0.935149074
Herring,Peanut,0.926443696
Herring,Pea,0.92528677
Herring,Carob,0.91784358
Herring,Strawberry,0.915409565
Ethanol,Honey,0.947739124
Ethanol,Rice,0.937573075
Ethanol,Coconut,0.93724072
Ethanol,Apple,0.935938597
Ethanol,Bean,0.93134743
contents in Pea,content in Pea,0.988826513
contents in Pea,ratio in Soybean,0.908509016
contents in Pea,"contents, whereas Wheat",0.898119152
contents in Pea,AIV in Poultry,0.895077109
contents in Pea,improvement of Wheat,0.88685286
mortality when Pea,Pea,0.89254868
mortality when Pea,Poultry,0.888769388
mortality when Pea,content in Pea,0.886960149
mortality when Pea,AIV in Poultry,0.883822083
mortality when Pea,"However, increasing Mannose",0.882843971
content in Pea,contents in Pea,0.988826513
content in Pea,ratio in Soybean,0.913414598
content in Pea,improvement of Wheat,0.895223677
content in Pea,AIV in Poultry,0.893666804
content in Pea,"contents, whereas Wheat",0.891198754
Egg,Apple,0.957302213
Egg,Chicken,0.95241636
Egg,Rice,0.950043201
Egg,Coconut,0.947134972
Egg,Shrimp,0.946304917
Prothrombin,Thrombin,0.963650584
Prothrombin,Plasminogen,0.921265006
Prothrombin,Fibrin,0.876222372
Prothrombin,Heparin,0.864458382
Prothrombin,Trypsin,0.857073843
Thrombin,Prothrombin,0.963650584
Thrombin,Plasminogen,0.930407763
Thrombin,Fibrin,0.902133584
Thrombin,Trypsin,0.899459243
Thrombin,Heparin,0.89510572
Trypsin,Plasminogen,0.902848303
Trypsin,Thrombin,0.899459243
Trypsin,Heparin,0.879263639
Trypsin,Gelatin,0.87861371
Trypsin,Dapsone,0.876730025
Xylazine,Xanthine,0.919496834
Xylazine,Esketamine,0.911111116
Xylazine,Almond,0.902273834
Xylazine,Pectin,0.90098083
Xylazine,Coumapho,0.900237739
Fentanyl,Propofol,0.919401228
Fentanyl,Remifentanil,0.918842793
Fentanyl,before epidural Morphine,0.906849563
Fentanyl,of epidural Morphine,0.904191494
Fentanyl,Ketamine,0.903217912
Lidocaine,Fentanyl,0.900259733
Lidocaine,Propofol,0.89799273
Lidocaine,Ranolazine,0.893407524
Lidocaine,Ranitidine,0.890599787
Lidocaine,Sertraline,0.88514787
Kynurenine,Arginine,0.881768465
Kynurenine,Esketamine,0.879667461
Kynurenine,Fenchone,0.876977801
Kynurenine,Cysteine,0.873673499
Kynurenine,Lysine,0.868098557
Rice,Bean,0.981994152
Rice,Coconut,0.975191772
Rice,Apple,0.973965764
Rice,Corn,0.973086536
Rice,Banana,0.972428322
Coenzyme A,Cobalamin,0.874658823
Coenzyme A,Glucose oxidase,0.874443293
Coenzyme A,Cytochrome C,0.856862009
Coenzyme A,Glutathione,0.849083066
Coenzyme A,Choline,0.848167002
Tetracycline,Chlortetracycline,0.948477745
Tetracycline,Minocycline,0.905833781
Tetracycline,Carbazole,0.893633485
Tetracycline,Linezolid,0.893244803
Tetracycline,Triclosan,0.892324984
Carbazole,Imidazole,0.938613594
Carbazole,Remimazolam,0.932200193
Carbazole,Carbendazim,0.931920767
Carbazole,Benzimidazole,0.913566887
Carbazole,Linezolid,0.911734462
Ozone,Methane,0.912074447
Ozone,Ammonia,0.90347445
Ozone,Nitrate,0.893396318
Ozone,Carbon dioxide,0.891602397
Ozone,Water,0.883163095
Daunorubicin,Lobaplatin,0.91747272
Daunorubicin,Ibrutinib,0.910922229
Daunorubicin,Crizotinib,0.906028807
Daunorubicin,Imatinib,0.903014958
Daunorubicin,Carboplatin,0.899418652
Copper,Zinc,0.965969443
Copper,Platinum,0.949097872
Copper,Iron,0.938446045
Copper,Silver,0.932841659
Copper,Corn,0.925293922
Tobramycin,Bicalutamide,0.902017474
Tobramycin,Natamycin,0.897649705
Tobramycin,Minocycline,0.893387616
Tobramycin,Polymyxin B,0.890916348
Tobramycin,Clarithromycin,0.887847066
Colistin,Vancomycin,0.928623557
Colistin,Amoxicillin,0.904120803
Colistin,Cefazolin,0.904038668
Colistin,Rifampin,0.898835242
Colistin,Avibactam,0.897943258
Rhodamine 6G,of an Iodine,0.864058495
Rhodamine 6G,Prussian blue,0.858698249
Rhodamine 6G,Methylene blue,0.857978344
Rhodamine 6G,Uridine,0.855891228
Rhodamine 6G,Eurotium amstelodami,0.855806649
Furfural,Sulfadiazine,0.889203429
Furfural,Fenchone,0.886562765
Furfural,Linezolid,0.882213771
Furfural,Thiamphenicol,0.882146895
Furfural,Benzoic acid,0.879794419
Sulfuric acid,Formic acid,0.964811444
Sulfuric acid,Maleic acid,0.948428869
Sulfuric acid,Peracetic acid,0.946069896
Sulfuric acid,Acetic acid,0.934123397
Sulfuric acid,Boric acid,0.928702712
Maleic acid,Formic acid,0.966335356
Maleic acid,Sulfuric acid,0.948428869
Maleic acid,Boric acid,0.929877996
Maleic acid,Benzoic acid,0.929459333
Maleic acid,Peracetic acid,0.926984072
N-Acetylglucosamine,Glucosamine,0.892314076
N-Acetylglucosamine,2'-Fucosyllactose,0.890987277
N-Acetylglucosamine,Acetylsalicylic acid,0.86949712
N-Acetylglucosamine,4-Nitrocatechol,0.864232957
N-Acetylglucosamine,Cysteamine or Lipoic acid,0.85680443
Uridine,Uracil,0.909757793
Uridine,Carnosine,0.887724102
Uridine,Imidazole,0.883983314
Uridine,Aniline,0.87948823
Uridine,Taurine,0.879218936
HEPE,Peanut,0.925308764
HEPE,Antimony,0.916395426
HEPE,Herring,0.912714064
HEPE,Thiram,0.911131501
HEPE,Serine,0.908400714
Ciprofloxacin,Enrofloxacin,0.955920637
Ciprofloxacin,Dicloxacillin,0.924075484
Ciprofloxacin,Clarithromycin,0.902778268
Ciprofloxacin,Cefazolin,0.879671574
Ciprofloxacin,Vancomycin,0.876106143
Pseudomonas aeruginosa,Fusarium graminearum,0.849442005
Pseudomonas aeruginosa,Avibactam,0.844059527
Pseudomonas aeruginosa,Bacillus subtilis,0.839017928
Pseudomonas aeruginosa,Fusarium oxysporum,0.836398304
Pseudomonas aeruginosa,Aspergillus oryzae,0.835862041
Candida albicans,Aspergillus oryzae,0.875522435
Candida albicans,Miconazole,0.855136991
Candida albicans,Voriconazole,0.849060655
Candida albicans,Vancomycin,0.845984101
Candida albicans,Fluconazole,0.845553517
Daidzin,Genipin,0.915643156
Daidzin,B2) and Daidzin,0.907071233
Daidzin,transformation of Daidzin,0.904312968
Daidzin,dATP,0.902238846
Daidzin,Naringin,0.901257575
Isoflavone,components of Garlic,0.888284087
Isoflavone,Quercetin,0.881130874
Isoflavone,Gingerol,0.876084328
Isoflavone,Ferulic acid,0.872459888
Isoflavone,Pomegranate,0.870394886
"flora, the Daidzin",B2) and Daidzin,0.887492061
"flora, the Daidzin",transformation of Daidzin,0.880473733
"flora, the Daidzin",Daidzin,0.876710892
"flora, the Daidzin","step, the Terpineol",0.873939037
"flora, the Daidzin",AIV in Poultry,0.869686246
transformation of Daidzin,metabolites of Daidzin,0.91392833
transformation of Daidzin,B2) and Daidzin,0.910365343
transformation of Daidzin,Daidzin,0.904312968
transformation of Daidzin,Esketamine,0.896199346
transformation of Daidzin,Coumapho,0.891846061
B2) and Daidzin,metabolites of Daidzin,0.915708601
B2) and Daidzin,transformation of Daidzin,0.910365343
B2) and Daidzin,Daidzin,0.907071233
B2) and Daidzin,Pomotrelvir,0.893460751
B2) and Daidzin,Zanubrutinib,0.889255643
metabolites of Daidzin,B2) and Daidzin,0.915708601
metabolites of Daidzin,transformation of Daidzin,0.91392833
metabolites of Daidzin,to synthesize Terpineol,0.888186812
metabolites of Daidzin,interaction between Florfenicol,0.887488842
metabolites of Daidzin,in recognizing Florfenicol,0.883414626
Chlortetracycline,Tetracycline,0.948477745
Chlortetracycline,Thiamphenicol,0.905447423
Chlortetracycline,Pomotrelvir,0.902250409
Chlortetracycline,Triamcinolone,0.897779107
Chlortetracycline,Remimazolam,0.887961328
Eurotium amstelodami,Methoxsalen,0.888964534
Eurotium amstelodami,of an Iodine,0.888277173
Eurotium amstelodami,Coumapho,0.879969001
Eurotium amstelodami,Topiroxostat,0.877744019
Eurotium amstelodami,Perampanel,0.876447499
Bacillus licheniformis,Bacillus subtilis,0.894662261
Bacillus licheniformis,Bacillus cereus,0.882300496
Bacillus licheniformis,Streptococcus salivarius,0.855980039
Bacillus licheniformis,Botrytis cinerea,0.845137
Bacillus licheniformis,Candida albicans,0.842688739
Thiamine,difference in Thiamine,0.910201907
Thiamine,Thiamphenicol,0.907306671
Thiamine,Selenium,0.895918369
Thiamine,Maleic acid,0.895656407
Thiamine,Iodine,0.894904017
difference in Thiamine,Thiamine,0.910201907
difference in Thiamine,Cobalamin,0.888318896
difference in Thiamine,at low Selenium,0.882665753
difference in Thiamine,Cysteamine or Lipoic acid,0.882277071
difference in Thiamine,Selenocysteine,0.879397035
Meloxicam,Pomotrelvir,0.890010834
Meloxicam,Diclofenac,0.888920665
Meloxicam,Ranolazine,0.88734436
Meloxicam,Cenobamate,0.886805296
Meloxicam,Remimazolam,0.885949016
Graphite,Titanium,0.887478352
Graphite,Barium,0.879904389
Graphite,Cobalt,0.879339218
Graphite,Mescaline,0.878226995
Graphite,Pectin,0.874286294
Honey,Coconut,0.965487003
Honey,Garlic,0.963649869
Honey,Rice,0.958055973
Honey,Apple,0.950002313
Honey,Yeast,0.949007392
Bacteroides thetaiotaomicron,Bacillus cereus,0.871270239
Bacteroides thetaiotaomicron,Bacillus subtilis,0.862948
Bacteroides thetaiotaomicron,Streptococcus salivarius,0.853555322
Bacteroides thetaiotaomicron,Botrytis cinerea,0.846101403
Bacteroides thetaiotaomicron,Fusarium oxysporum,0.843842566
Streptococcus salivarius,Enterococcus faecium,0.893379152
Streptococcus salivarius,Bacillus cereus,0.893327594
Streptococcus salivarius,Bacillus subtilis,0.883391023
Streptococcus salivarius,Escherichia coli,0.863932133
Streptococcus salivarius,Avibactam,0.856598258
Cesium,Barium,0.907096565
Cesium,Chromium,0.906989038
Cesium,Iodine,0.902094722
Cesium,Cobalt,0.9008044
Cesium,Selenium,0.899453044
Bacillus cereus,Bacillus subtilis,0.942694068
Bacillus cereus,Streptococcus salivarius,0.893327594
Bacillus cereus,Bacillus licheniformis,0.882300496
Bacillus cereus,Enterococcus faecium,0.880325556
Bacillus cereus,Botrytis cinerea,0.876480222
"analyses, the Silver",of various Oxygen,0.878081799
"analyses, the Silver",with four Potassium,0.864947498
"analyses, the Silver",of an Iodine,0.862018347
"analyses, the Silver","step, the Terpineol",0.861905932
"analyses, the Silver","Regarding interactions, Wheat",0.86165452
approximately 35 Silver,million) for Ammonia,0.845533609
approximately 35 Silver,Theanine,0.83686918
approximately 35 Silver,in relative Water,0.835028708
approximately 35 Silver,Hemin,0.834305167
approximately 35 Silver,Silanol,0.831298888
Serine,Proline,0.937539518
Serine,Peanut,0.921833754
Serine,Opium,0.919484496
Serine,Antimony,0.919178843
Serine,Urea,0.916902721
Fibrin,in a Fibrin,0.935800135
Fibrin,Thrombin,0.902133584
Fibrin,Plasminogen,0.894033492
Fibrin,chondrocytes in Fibrin,0.887077272
Fibrin,Prothrombin,0.876222372
Banana,Apple,0.973110914
Banana,Rice,0.972428322
Banana,Potato,0.971249461
Banana,Bean,0.969464302
Banana,Corn,0.96499598
Fusarium oxysporum,Fusarium graminearum,0.922040403
Fusarium oxysporum,Botrytis cinerea,0.912817359
Fusarium oxysporum,Coumapho,0.886358082
Fusarium oxysporum,in recognizing Florfenicol,0.875135422
Fusarium oxysporum,AIV in Poultry,0.872823238
Plasminogen,Thrombin,0.930407763
Plasminogen,Prothrombin,0.921265006
Plasminogen,Trypsin,0.902848303
Plasminogen,Fibrin,0.894033492
Plasminogen,Heparin,0.889903188
Hypochlorous acid,Chloroform,0.894688368
Hypochlorous acid,Peracetic acid,0.888068795
Hypochlorous acid,Sulfuric acid,0.885673106
Hypochlorous acid,Boric acid,0.884220243
Hypochlorous acid,Dichlorvo,0.881654382
Rose bengal,Berberine,0.882457495
Rose bengal,Strawberry,0.876105964
Rose bengal,Pomegranate,0.872082829
Rose bengal,Ellagic acid,0.869204521
Rose bengal,Parthenolide,0.86455667
Cysteamine or Lipoic acid,based on Lipoic acid,0.913634539
Cysteamine or Lipoic acid,Acetylsalicylic acid,0.893618822
Cysteamine or Lipoic acid,Ferulic acid,0.893246114
Cysteamine or Lipoic acid,Selenocysteine,0.891358852
Cysteamine or Lipoic acid,Cysteine,0.887980223
based on Lipoic acid,Cysteamine or Lipoic acid,0.913634539
based on Lipoic acid,Ferulic acid,0.894177377
based on Lipoic acid,Maleic acid,0.883193433
based on Lipoic acid,Aminobenzoic acid,0.880429327
based on Lipoic acid,Boric acid,0.879235268
4-Nitrocatechol,4-hydroxybenzoic acid,0.926982462
4-Nitrocatechol,Piperonyl butoxide,0.90635252
4-Nitrocatechol,Aminobenzoic acid,0.898130119
4-Nitrocatechol,"3-hydroxycarbofuran, deethyl Atrazine",0.896869063
4-Nitrocatechol,4-Methylimidazole,0.890126765
Enterococcus faecium,Streptococcus salivarius,0.893379152
Enterococcus faecium,Escherichia coli,0.882112086
Enterococcus faecium,Bacillus cereus,0.880325556
Enterococcus faecium,Bacillus subtilis,0.871064186
Enterococcus faecium,Vancomycin,0.851375282
Vancomycin,Amoxicillin,0.931008518
Vancomycin,Colistin,0.928623557
Vancomycin,Clarithromycin,0.924883842
Vancomycin,Natamycin,0.92381382
Vancomycin,Rifampin,0.922462881
Rhamnose,Berberine,0.912503064
Rhamnose,Pomegranate,0.912278533
Rhamnose,Gingerol,0.903599679
Rhamnose,components of Garlic,0.897198558
Rhamnose,common bread Wheat,0.890331745
Oat,Oyster,0.947447002
Oat,Almond,0.9335621
Oat,Peanut,0.918839872
Oat,Strawberry,0.918588698
Oat,Whey,0.916011095
Millet seed,Barley,0.913442552
Millet seed,Peach,0.904946506
Millet seed,Strawberry,0.900019646
Millet seed,Beet,0.894150257
Millet seed,Ginger,0.892172575
h of Water,million) for Ammonia,0.877669811
h of Water,the lake Water,0.877534091
h of Water,1% and Water,0.875208139
h of Water,in relative Water,0.862905324
h of Water,to final Ethanol,0.859032154
1% and Water,Sodium Acetate,0.882393956
1% and Water,Chloroform,0.878506184
1% and Water,h of Water,0.875208139
1% and Water,in relative Water,0.873886228
1% and Water,than low-mineral Water,0.863455474
Gelatin,Pectin,0.910344243
Gelatin,Heparin,0.883466721
Gelatin,Sodium Acetate,0.882799387
Gelatin,Xylazine,0.881575406
Gelatin,in a Fibrin,0.881318927
Sulfamethoxazole,Thiamphenicol,0.879404187
Sulfamethoxazole,Amoxicillin,0.876104772
Sulfamethoxazole,Cefazolin,0.874070764
Sulfamethoxazole,Remimazolam,0.871298194
Sulfamethoxazole,Carbazole,0.869421244
formulated for Ethanol,additions to Honey,0.896206617
formulated for Ethanol,Peanut,0.893968463
formulated for Ethanol,Esketamine,0.889529705
formulated for Ethanol,Whey,0.888400912
formulated for Ethanol,Perampanel,0.883071303
to final Ethanol,in relative Water,0.883943439
to final Ethanol,Ammonia,0.871518016
to final Ethanol,Sorbitol,0.870236874
to final Ethanol,Acetate,0.869952261
to final Ethanol,sensitivity for Ammonia,0.866455555
composition of Egg,characteristics of Egg,0.9502756
composition of Egg,additions to Honey,0.899321675
composition of Egg,Whey,0.895963311
composition of Egg,Oat,0.8921206
composition of Egg,Strawberry,0.884726644
characteristics of Egg,composition of Egg,0.9502756
characteristics of Egg,Oyster,0.889854014
characteristics of Egg,Strawberry,0.888111353
characteristics of Egg,Poultry,0.886308968
characteristics of Egg,Peanut,0.885917425
Silver,Zinc,0.948007464
Silver,Copper,0.932841659
Silver,Iron,0.916131854
Silver,Platinum,0.914052129
Silver,Silicon,0.91321981
Oyster,Oat,0.947447002
Oyster,Herring,0.935149074
Oyster,Peanut,0.93331784
Oyster,Clove,0.92921567
Oyster,Almond,0.92176652
Barium,Opium,0.931267321
Barium,Antimony,0.926652849
Barium,Betaine,0.913496792
Barium,Cobalt,0.911260605
Barium,Almond,0.907889187
additions to Honey,composition of Egg,0.899321675
additions to Honey,Oat,0.898656607
additions to Honey,formulated for Ethanol,0.896206617
additions to Honey,Esketamine,0.883389473
additions to Honey,Strawberry,0.882471323
Piperonyl butoxide,Methoxsalen,0.915063918
Piperonyl butoxide,Thiamphenicol,0.913703918
Piperonyl butoxide,Benzoic acid,0.908568859
Piperonyl butoxide,4-Nitrocatechol,0.90635252
Piperonyl butoxide,Aminobenzoic acid,0.905206323
Coumapho,Lapachone,0.903553843
Coumapho,Thiram,0.900369883
Coumapho,Sakuranetin,0.90033859
Coumapho,Xylazine,0.900237739
Coumapho,Thiamphenicol,0.898646533
Urea,Ammonia,0.940173626
Urea,Serine,0.916902721
Urea,Acetate,0.910504758
Urea,Nitrate,0.907351077
Urea,Hemin,0.907254279
Chlorine,Dichlorvo,0.917311668
Chlorine,Iodine,0.916340709
Chlorine,Perchlorate,0.908735991
Chlorine,Cadmium,0.896869659
Chlorine,Sulfuric acid,0.895325005
Tetramethylammonium,Benzalkonium,0.884742916
Tetramethylammonium,Isopropyl alcohol,0.881205082
Tetramethylammonium,4-Methylimidazole,0.875204563
Tetramethylammonium,Maleic acid,0.861340463
Tetramethylammonium,Piperonyl butoxide,0.857466817
Clopidogrel,Rivaroxaban,0.877625346
Clopidogrel,Amiodarone,0.866344213
Clopidogrel,Niraparib,0.861231625
Clopidogrel,Dapagliflozin,0.852261603
Clopidogrel,Nifedipine,0.851731479
Silanol,Maleic acid,0.919065177
Silanol,Boric acid,0.907401085
Silanol,Theanine,0.904416859
Silanol,Aniline,0.90439719
Silanol,Benzoic acid,0.901917875
Dichlorvo,Chlorine,0.917311668
Dichlorvo,Methoxsalen,0.902703047
Dichlorvo,Cadmium,0.890734732
Dichlorvo,Boric acid,0.886134982
Dichlorvo,Bisphenol A,0.885818422
Carbendazim,Carbazole,0.931920767
Carbendazim,Benzimidazole,0.918819904
Carbendazim,Imidazole,0.917027116
Carbendazim,Remimazolam,0.908927381
Carbendazim,Sulfadiazine,0.897052944
"including acetochlor, Atrazine","3-hydroxycarbofuran, deethyl Atrazine",0.892938614
"including acetochlor, Atrazine",arsenic + Chromium,0.864445746
"including acetochlor, Atrazine",Chlortetracycline,0.861437321
"including acetochlor, Atrazine",in recognizing Florfenicol,0.85704869
"including acetochlor, Atrazine",Hypochlorous acid,0.856058776
"3-hydroxycarbofuran, deethyl Atrazine",4-hydroxybenzoic acid,0.939515829
"3-hydroxycarbofuran, deethyl Atrazine",5-Hydroxymethylfurfural,0.931796372
"3-hydroxycarbofuran, deethyl Atrazine",4-Nitrocatechol,0.896869063
"3-hydroxycarbofuran, deethyl Atrazine",4-Methylimidazole,0.8945328
"3-hydroxycarbofuran, deethyl Atrazine","including acetochlor, Atrazine",0.892938614
Choline,Thiamine,0.884187639
Choline,Caffeine,0.883597732
Choline,Chlorine,0.882637203
Choline,Iodine,0.881787002
Choline,Fenchone,0.881533742
Sakuranetin,Mangostin,0.900346577
Sakuranetin,Coumapho,0.90033859
Sakuranetin,Naringin,0.899643421
Sakuranetin,Genipin,0.896499574
Sakuranetin,Astaxanthin,0.891810536
Menaquinone,Coenzyme A,0.809555292
Menaquinone,Isoflavone,0.796037257
Menaquinone,Sulfuric acid,0.795099974
Menaquinone,Ascorbic acid,0.794766903
Menaquinone,Formic acid,0.793184638
Broccoli,Strawberry,0.905596375
Broccoli,Carob,0.89711982
Broccoli,Barley,0.893996954
Broccoli,Berberine,0.892517567
Broccoli,common bread Wheat,0.890147507
Pomegranate,Rhamnose,0.912278533
Pomegranate,Gingerol,0.907320082
Pomegranate,Genipin,0.905839086
Pomegranate,Berberine,0.904885054
Pomegranate,components of Garlic,0.892074049
Ellagic acid,Bempedoic acid,0.902803659
Ellagic acid,Ferulic acid,0.901431203
Ellagic acid,Gibberellic acid,0.901087105
Ellagic acid,Pectin,0.896461248
Ellagic acid,Gingerol,0.891394734
Tocopherol,Deoxycholic acid,0.871230841
Tocopherol,Isoflavone,0.868650436
Tocopherol,Ferulic acid,0.86468792
Tocopherol,Caffeine,0.863473892
Tocopherol,Curcumin,0.862716079
Whey,Almond,0.923630297
Whey,Strawberry,0.918627024
Whey,Peanut,0.918074071
Whey,Oat,0.916011095
Whey,Water,0.90847683
Benzoic acid,Aminobenzoic acid,0.973607659
Benzoic acid,Maleic acid,0.929459333
Benzoic acid,Formic acid,0.923208356
Benzoic acid,Boric acid,0.922127843
Benzoic acid,Acetic acid,0.917686701
Aminobenzoic acid,Benzoic acid,0.973607659
Aminobenzoic acid,Boric acid,0.916154981
Aminobenzoic acid,4-hydroxybenzoic acid,0.915505886
Aminobenzoic acid,Maleic acid,0.914228618
Aminobenzoic acid,Thiamphenicol,0.912123322
of various Oxygen,that are Iron,0.889577568
of various Oxygen,with four Potassium,0.885296702
of various Oxygen,of an Iodine,0.882400453
of various Oxygen,effects of Iron,0.88139689
of various Oxygen,characteristics of Egg,0.881313205
for the Oxygen,million) for Ammonia,0.897630155
for the Oxygen,driven by Iron,0.895644665
for the Oxygen,of the Iron,0.892032385
for the Oxygen,Hemin,0.890923142
for the Oxygen,to access Iron,0.886940956
M-Cresol,P-Cresol,0.980091512
M-Cresol,Phenol,0.893476963
M-Cresol,Piperonyl butoxide,0.883510232
M-Cresol,Isopropyl alcohol,0.879906654
M-Cresol,Methoxsalen,0.873064518
Phosphoru,Bisphenol A,0.870615304
Phosphoru,Eurotium amstelodami,0.870558321
Phosphoru,Coumapho,0.870282531
Phosphoru,immobilized with Etorphine,0.859130561
Phosphoru,of an Iodine,0.857752323
ATP,Pea,0.92599988
ATP,Peanut,0.921108842
ATP,dATP,0.909726262
ATP,Carob,0.906123996
ATP,MCC,0.902753294
Ergosterol,Gingerol,0.900545239
Ergosterol,Parthenolide,0.894056678
Ergosterol,Bempedoic acid,0.892481387
Ergosterol,Quercetin,0.89191556
Ergosterol,Ellagic acid,0.890449286
Perchlorate,Chlorine,0.908735991
Perchlorate,Maleic acid,0.900734186
Perchlorate,Boric acid,0.898995459
Perchlorate,Sulfuric acid,0.893219769
Perchlorate,Formic acid,0.890298128
Carbon dioxide,Methane,0.922486901
Carbon dioxide,Ammonia,0.907358527
Carbon dioxide,Acetate,0.904591203
Carbon dioxide,Sulfuric acid,0.892853141
Carbon dioxide,Ozone,0.891602397
Glucose oxidase,Coenzyme A,0.874443293
Glucose oxidase,Cytochrome C,0.846860468
Glucose oxidase,reduction than Glucagon,0.836771369
Glucose oxidase,Ascorbic acid,0.831980944
Glucose oxidase,Glutathione,0.828540206
Chloramphenicol,Vancomycin,0.867779493
Chloramphenicol,Amoxicillin,0.86571455
Chloramphenicol,Chlorhexidine,0.864692748
Chloramphenicol,Clarithromycin,0.861630321
Chloramphenicol,Erythromycin,0.859328151
Thiamphenicol,in recognizing Florfenicol,0.915832222
Thiamphenicol,Piperonyl butoxide,0.913703918
Thiamphenicol,Methoxsalen,0.913493574
Thiamphenicol,Aminobenzoic acid,0.912123322
Thiamphenicol,Perampanel,0.911131859
in recognizing Florfenicol,interaction between Florfenicol,0.962290764
in recognizing Florfenicol,Thiamphenicol,0.915832222
in recognizing Florfenicol,Cenobamate,0.896973252
in recognizing Florfenicol,Pomotrelvir,0.89696914
in recognizing Florfenicol,5-Hydroxymethylfurfural,0.89605999
interaction between Florfenicol,in recognizing Florfenicol,0.962290764
interaction between Florfenicol,Thiamphenicol,0.900717556
interaction between Florfenicol,5-Hydroxymethylfurfural,0.893675447
interaction between Florfenicol,Pomotrelvir,0.891979575
interaction between Florfenicol,metabolites of Daidzin,0.887488842
Sodium Acetate,Acetic acid,0.932347715
Sodium Acetate,Acetate,0.924481153
Sodium Acetate,Maleic acid,0.917110801
Sodium Acetate,Formic acid,0.916353822
Sodium Acetate,Peracetic acid,0.91336894
in vitro Calcium,broth or Wheat,0.865916193
in vitro Calcium,based on Lipoic acid,0.853545725
in vitro Calcium,in recognizing Florfenicol,0.839870214
in vitro Calcium,in the Yeast,0.838235021
in vitro Calcium,Benzoic acid,0.835231662
had comparable Calcium,characteristics of Egg,0.88064158
had comparable Calcium,formulated for Ethanol,0.877227545
had comparable Calcium,Dapsone,0.872575104
had comparable Calcium,Opium,0.872093558
had comparable Calcium,composition of Egg,0.870168865
Nifedipine,Pilocarpine,0.894809008
Nifedipine,Dapagliflozin,0.885726392
Nifedipine,Carbamazepine,0.885052383
Nifedipine,Carvedilol,0.882832587
Nifedipine,Ondansetron,0.882634401
Fluoxetine,Paroxetine,0.964450777
Fluoxetine,Clozapine,0.889393628
Fluoxetine,Olanzapine,0.881372511
Fluoxetine,Levetiracetam,0.867086351
Fluoxetine,Carbamazepine,0.862652957
Carbamazepine,Remimazolam,0.904384077
Carbamazepine,Carbazole,0.893467784
Carbamazepine,Pilocarpine,0.887802184
Carbamazepine,Nifedipine,0.885052383
Carbamazepine,Carbendazim,0.878848433
Acetylcholine,Norepinephrine,0.880871415
Acetylcholine,Dopamine,0.866037428
Acetylcholine,Serotonin,0.862975955
Acetylcholine,of the Dopamine,0.851503909
Acetylcholine,Tetrodotoxin,0.850477338
Betaine,Opium,0.927366197
